adres,postcode,huisnummer,straat,woonplaats,gemeente,objecttype,lat,lng
"'t Markvelt 1, 1391BZ Abcoude","1391BZ","1","'t Markvelt","Abcoude","De Ronde Venen","verblijfsobject",52.27089317,4.97598824
"Aasdomstraat 1, 1391CR Abcoude","1391CR","1","Aasdomstraat","Abcoude","De Ronde Venen","verblijfsobject",52.26808371,4.96920391
"Abcoudermeer 1, 1391JL Abcoude","1391JL","1","Abcoudermeer","Abcoude","De Ronde Venen","verblijfsobject",52.27882882,4.9684237
"Achter de Kerken 1, 1391LB Abcoude","1391LB","1","Achter de Kerken","Abcoude","De Ronde Venen","verblijfsobject",52.27517123,4.97565966
"Amsterdamsestraatweg 1, 1391AA Abcoude","1391AA","1","Amsterdamsestraatweg","Abcoude","De Ronde Venen","verblijfsobject",52.27249219,4.97308046
"Angsteloord 1, 1391EB Abcoude","1391EB","1","Angsteloord","Abcoude","De Ronde Venen","verblijfsobject",52.26926917,4.97454526
"Bergvliet 1, 1391RN Abcoude","1391RN","1","Bergvliet","Abcoude","De Ronde Venen","verblijfsobject",52.27386763,4.96236253
"Blomswaard 1, 1391VB Abcoude","1391VB","1","Blomswaard","Abcoude","De Ronde Venen","verblijfsobject",52.26959696,4.97199202
"Botshol 1, 1391HN Abcoude","1391HN","1","Botshol","Abcoude","De Ronde Venen","verblijfsobject",52.26439467,4.93753831
"Brandweerplein 1, 1391CP Abcoude","1391CP","1","Brandweerplein","Abcoude","De Ronde Venen","verblijfsobject",52.26880062,4.97212846
"Brugstraat 1, 1391GH Abcoude","1391GH","1","Brugstraat","Abcoude","De Ronde Venen","verblijfsobject",52.27246587,4.9734573
"Burgemeester Bentinckstraat 1, 1391GE Abcoude","1391GE","1","Burgemeester Bentinckstraat","Abcoude","De Ronde Venen","verblijfsobject",52.26665749,4.96920604
"Burgemeester de Beaufortlaan 1, 1391CK Abcoude","1391CK","1","Burgemeester de Beaufortlaan","Abcoude","De Ronde Venen","verblijfsobject",52.26896444,4.97250159
"Burgemeester Quarles van Uffordstraat 1, 1391GG Abcoude","1391GG","1","Burgemeester Quarles van Uffordstraat","Abcoude","De Ronde Venen","verblijfsobject",52.2664596,4.96832151
"De Cleijen 1, 1391RL Abcoude","1391RL","1","De Cleijen","Abcoude","De Ronde Venen","verblijfsobject",52.2741863,4.96413491
"De Cleijne Cleij 1, 1391DR Abcoude","1391DR","1","De Cleijne Cleij","Abcoude","De Ronde Venen","verblijfsobject",52.26443691,4.97151484
"De Hilt 1, 1391DT Abcoude","1391DT","1","De Hilt","Abcoude","De Ronde Venen","verblijfsobject",52.26484288,4.96924494
