adres,postcode,huisnummer,straat,woonplaats,gemeente,objecttype,lat,lng
"Acacialaan 1, 1394BV Nederhorst den Berg",1394BV,1,Acacialaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.25236206,5.0467041
"Aelbert Cuypstraat 1, 1394GE Nederhorst den Berg",1394GE,1,Aelbert Cuypstraat,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26605005,5.04343517
"Ankeveensepad 1-TRAF, 1394GW Nederhorst den Berg",1394GW,1-TRAF,Ankeveensepad,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26398756,5.04646031
"Anton Mauvelaan 1, 1394EL Nederhorst den Berg",1394EL,1,Anton Mauvelaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26457121,5.03871509
"Blijklaan 1, 1394KA Nederhorst den Berg",1394KA,1,Blijklaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.261504,5.04716148
"Brugstraat 1, 1394CV Nederhorst den Berg",1394CV,1,Brugstraat,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.2637479,5.0448312
"Cederlaan 1, 1394JV Nederhorst den Berg",1394JV,1,Cederlaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.25086764,5.04577044
"Dammerweg 1, 1394GM Nederhorst den Berg",1394GM,1,Dammerweg,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26386564,5.04558683
"De Biezen 1, 1394LR Nederhorst den Berg",1394LR,1,De Biezen,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.25865517,5.04727112
"De Grienden 1, 1394KS Nederhorst den Berg",1394KS,1,De Grienden,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.25713915,5.04795582
"De Kooi 1, 1394NE Nederhorst den Berg",1394NE,1,De Kooi,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.2553775,5.04827741
"Dobbelaan 1, 1394LL Nederhorst den Berg",1394LL,1,Dobbelaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26028784,5.04618941
"Dwarsweg 1, 1394AX Nederhorst den Berg",1394AX,1,Dwarsweg,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.25575476,5.07768311
"Eilandseweg 1, 1394JE Nederhorst den Berg",1394JE,1,Eilandseweg,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.27654049,5.04711982
"Esdoornlaan 1, 1394BR Nederhorst den Berg",1394BR,1,Esdoornlaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.25160287,5.04545698
"Fazantelaan 1, 1394CH Nederhorst den Berg",1394CH,1,Fazantelaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.25401587,5.04672074
"Frans Halshof 1, 1394ER Nederhorst den Berg",1394ER,1,Frans Halshof,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26457423,5.03974047
"George Hendrik Breitnerlaan 1, 1394ET Nederhorst den Berg",1394ET,1,George Hendrik Breitnerlaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26476184,5.04172021
"Hendrik Willem Mesdaglaan 1, 1394GC Nederhorst den Berg",1394GC,1,Hendrik Willem Mesdaglaan,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.26581081,5.04216443
"Hinderdam 1, 1394JB Nederhorst den Berg",1394JB,1,Hinderdam,Nederhorst den Berg,Wijdemeren,verblijfsobject,52.27777345,5.05083225
"Hinderdam 1-ws01, 1394JB Nederhorst den Berg",1394JB,1-ws01,Hinderdam,Nederhorst den Berg,Wijdemeren,ligplaats,52.27931684,5.05014565
